CORSO DI STUDI,PAROLE CHIAVE - IT
ARCHITETTURA,planning; strategy; urbanistica; urban; government; governance
ARCHITETTURA,marble quarry; industrial ecology; Apricena; eco industrial park; industrial symbiosis
INGEGNERIA GESTIONALE,sustainability; warehousing; certification
INGEGNERIA EDILE - ARCHITETTURA,sun
INGEGNERIA MECCANICA,combined heat and power; cogeneration; trigeneration
INGEGNERIA DELLE TELECOMUNICAZIONI,IMS; LoST; context; emergency call; ECRIT; OpenIMSCore; PICO; public safety; SIP
INGEGNERIA MATEMATICA,"mathematical finance; european call; jump-diffusion; Monte Carlo; normal
distribution; double exponential distribution"
INGEGNERIA MATEMATICA,Value-at-Risk; defaultable asset; CEV model; Tobin tax
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),tradition; culture; modern design; methodology
INGEGNERIA FISICA,graphene; TEM; in-situ; catalysis; nanoparticles; silver; cobalt; channels; growth; magnetic control
INGEGNERIA CHIMICA,LCA; EPAL; wood
ARCHITETTURA,redevelopment; EX-UPIM; Treviglio; multifunctional building
INGEGNERIA AERONAUTICA,conceptual design; aeroelastic analysis; multidisciplinary design optimization
INGEGNERIA INFORMATICA,dynamic compilation; generic programming; meta programming; virtual machine; ildjit; .NET
INGEGNERIA INFORMATICA,emulation; debugging; malware analysis; process emulation; CPU emulation; Qemu
INGEGNERIA MECCANICA,condition based maintenance; prognosic; railway axles
ARCHITETTURA,prison; floating architecture; roving architecture
INGEGNERIA CIVILE,integral bridges; soil - structure interaction; reinforced concrete
ARCHITETTURA,public; library; civic; polytechnic; Lecco
INGEGNERIA MATEMATICA,cell growth model; cell metabolism; temperature dependance; 3D model; Chinese hamster ovary cell culture; batch culture
DESIGN DELLA MODA (FASHION DESIGN),dynamic; jewellery; design jewellery; movement; kynetic jewel; op art; personalize; changing; personal
ARCHITETTURA,social housing; low cost; Bergamo; retail; park; exposition
INGEGNERIA NUCLEARE,MSRE; molten salt reactor experiment; molten salts; dynamics; plant model; transient
ARCHITETTURA,gardens; Milan; gardens' protection
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),Expo Milan 2015; food packaging; vacuum-packed; traditional italian food; NFC technology
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),industrial film; Olivetti; Ettore Sottsass; Italy; the new domestic landscape; Massimo MagrÃ¬
ARCHITETTURA,high density; high rise; platform; wind energy
ARCHITETTURA,marina; system development activities; violin-making school; auditorium; student housing
ARCHITETTURA,-
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,asbestos
DESIGN DELLA MODA (FASHION DESIGN),purse; bags; sustainable; emotional design; fast fashion; transformation; accessories; magic
DESIGN DELLA MODA (FASHION DESIGN),lightness; weight; reduction; levity; minimalism; needle punching
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),sustainable; fair trade; Trieste; network; community
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,GPR
INGEGNERIA DEI MATERIALI,microalloyed steel; as cast steel; hot rolling; hot ductility; niobium; vanadium
INGEGNERIA DELLE TELECOMUNICAZIONI,Voip; SIP; H323; pbx; telephony
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),women; consumerism; ideology; brand; relations of power; effects of advertising; media studies; women's studies
INGEGNERIA MECCANICA,storage system integrated; supercapacitor
INGEGNERIA MECCANICA,mixed Model Ant System
PROGETTO E INGEGNERIZZAZIONE DEL PRODOTTO INDUSTRIALE (DESIGN & ENGINEERING),household appliance; washing machine; dishwasher; combo; built-in appliance
ARCHITETTURA,"industrial archaeology; itineraries of industrial archaeology in Lombardia; museums of work and ""ecomusei"" in Lombardia"
ARCHITETTURA,vetreria milanese Lucchini-Perego; glassworks in Lombardia XIX sec.; glassworks in Milan XIX sec.
ARCHITETTURA,thought; theory; practice
ARCHITETTURA,high density housing; typology; housing in Cina
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),LED; lighting; urban; lighting project; modular
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),sustainable mobility; car pooling; dynamic ridesharing; transportation
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),protections; sports; clothing; injuries; market
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,wind; hydrogeological disturbance; tree mortality; chestnut; douglas fir; western hemlock
INGEGNERIA INFORMATICA,sentiment analysis; reputation; semantic web; natural language processing; data cleaning
INGEGNERIA INFORMATICA,"service adaptation; SOAP services; REST services; semantic annotations; service composition; service-
oriented architectures"
INGEGNERIA INFORMATICA,trojan; trojan-free; FPGA; trust-checking; design; self-checking; ECC; functional verification; security; trusted; trustworthy; trustworthiness; parity; cone covering; cone; iFIE; RecECC
INGEGNERIA INFORMATICA,wireless sensor networks; dynamic reprogramming; energy optimization; modeling techniques; genetic algorithm
INGEGNERIA ELETTRICA,solar inverter optimization; solar inverter; dc/ac converter; grid connected optimization
INGEGNERIA MECCANICA,shot peening; waterjet peening; residual stress analysis; surface morphology; erosion
INGEGNERIA DEI MATERIALI,electrodeposition; cobalt; nickel; roughness
ARCHITETTURA,Istanbul; urban axis; Yenikapi
INGEGNERIA ELETTRONICA,intedigitated capacitive pH sensor; chemical sensor
ARCHITETTURA,Parque Cornisa; Madrid
INGEGNERIA MECCANICA,cogeneration; parameters; model; technology
INGEGNERIA MATEMATICA,Laguerre functions; shallow water equations; semi-Lagrangian method; semi-implicit method; open boundary conditions
INGEGNERIA INFORMATICA,electric; electric vehicle; electric motorbyke; ECU; CAN; engine map; human machine interface
INGEGNERIA ELETTRONICA,X-ray astronomy; silicon radiation detectors; trapezoidal weighting function; current readout; time variant filter; analog IC
INGEGNERIA MECCANICA,prosthesis; transtibial; swimming
INGEGNERIA ENERGETICA,model 1D+1D; water management; water transport; diffusivity; GDL; MPL; PEFC; DMFC; Direct methanol fuel cells
INGEGNERIA AERONAUTICA,kinetic scheme; BGK; rarefied; transitional; Node-Pair
INGEGNERIA AERONAUTICA,turbulent wall flows; enstrophy; drag reduction; oscillating wall forcing
GESTIONE DEL COSTRUITO,public management; university; public real estate management; global service contract; building production process; building and facilities management services
INGEGNERIA EDILE,quality; ISO 9001; service companies; manual; quality management process; highways
INGEGNERIA ELETTRONICA,radiation sensor simulator
INGEGNERIA INFORMATICA,formal methods; theorem proving; formal verification; POPLMark challenge
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),Ho.Re.Ca; balanced diet; convenience food; food pyramid; packaging; food packaging
INGEGNERIA DEI MATERIALI,interlaminar fracture toughness; composite materials; fabric; fractography SEM; temperature; mode I e II
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),audiovisual; music; live; show; performance; videoclip; documentary; video; sound; calibro 35; cinema; the cinema kills Calibro 35; audiovisual trinity; shooting
INGEGNERIA DELL'AUTOMAZIONE,process control; modelling; predictive control; adaptive control; expert control; crude oil; destillation; Aspen; ADEX
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),childhood obesity; product design; children; education; active lifestyle; indoor physical activities; games for children; health; game
DESIGN DEGLI INTERNI (INTERIOR DESIGN),valle Olona; ecomuseum; industrial route; artistic route; textile industry; mill; factory; Valmorea rail; industrial archeology
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),sustainability; experience; Carugate; sustainable island; motion graphics; web 2.0; social network; transition management; agenda 21
INGEGNERIA DEI MATERIALI,security sistem; door lock; shape memory alloy; innovation; low cost
INGEGNERIA CHIMICA,NOx; reduction; Pt-Ba/Al2O3; catalysts; LNT; NSR; hydrogen; ammonia; kinetics; mathematical models
INGEGNERIA INFORMATICA,central pattern generator; central pattern generation; cpg; robot; motion control; control; quadruped; locomotion
INGEGNERIA MATEMATICA,spread; sovereign CDS; panel regression; financial structure
INGEGNERIA AERONAUTICA,energy finite element method; acoustic; helicopter; high frequency; plates; vibration
ARCHITETTURA,Parigi MassÃ©na; horizontal skyscraper
INGEGNERIA MATEMATICA,physiology; tissue engineering; cartilage tissue; extra-cellular matrix; bioreactor; scaffold; nutrient flux; biomass; shear stress; modelling; spatial and temporal multiscale analysis; volume averaging method; upscaling and downscaling; effective parameters; numerical approximation of EDP with internal interface; Nitscheâ€™s method; extended finite elements method; unfitted interface penalty method; condition number preconditioner; evolution problems;
DESIGN DEGLI INTERNI (INTERIOR DESIGN),industrial archaeology; bustese cotton mill; textile industry; museum arrangement; Busto Arsizio; valle Olona
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,selling planning permission; portfolio approach; betterment levy; mutli project management; development competition
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),sustainability; social sustainability; environmental sustainability; ecology; communication; communication design; decrease; mediterranean marketing; movie design
INGEGNERIA ELETTRONICA,organic solar cell; spray; thin film; solution processing
ARCHITETTURA,mosque; synagogue;church; Casa delle Culture; multi-ethnic city
INGEGNERIA EDILE,building physics; TRNSYS; dynamic simulation; multizone model; unizone model; monozone model; district energy analysis
INGEGNERIA AERONAUTICA,impulse response; body force; anisotropic turbulence; D.N.S.; channel
ARCHITETTURA,school; social house; collettivo di architettura; Ho Chi Minh; Rozzano; Bollate; San Giuliano Milanese; Cinisello Balsamo; Buccinasco; Corsico
ARCHITETTURA,climate; traditional courtyard house; medium-rise residential; courtyard-duplex typology; Shanghai
INGEGNERIA INFORMATICA,distributed systems; extensible systems; building automation; software engineering;  development methodologies; architectures; web services; CommandFusion; ProntoScript; PRISM
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),diabetic children; service design; communication systems; interactive systems; hospitals; education; autonomy; childhood; health; management and monitoring of diabetes
DESIGN DELLA MODA (FASHION DESIGN),shoes; supply chain; ethical; fashion
ARCHITETTURA,Hadrian; Antiquarium
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,wastewater treatment plant; LCA; wastewater; reuse; irrigation
INGEGNERIA INFORMATICA,recommender system; diversity; dataset; reshuffling; IPTV; Video on Demand; recall
INGEGNERIA CIVILE,road pavements preventive maintenance; pavement waterproofing; life cycle cost and performance analysis
INGEGNERIA BIOMEDICA,renal tissue engineering; kidney decellularization; development and implementation of a perfusion system for kidney decellularization
INGEGNERIA CHIMICA,SOFCs; materials; preparation and characterization
INGEGNERIA BIOMEDICA,wear; ring on disc; CoCrMo alloy sintering
DESIGN DELLA MODA (FASHION DESIGN),beauty; experience marketing; retail design
INGEGNERIA INFORMATICA,iPhone; technology & disability; bluetooth; home automation
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,L.R. 12/2005; equalisation; incentive; compensation; transformation of urban areas; agricultural areas
INGEGNERIA GESTIONALE,lean; after sales; quality; KPI; home appliance
INGEGNERIA MECCANICA,feasibility report; underground gas storage
INGEGNERIA MECCANICA,bearing life; distribution of the load; radial-clearance on exercise; ovalization
INGEGNERIA DEI MATERIALI,heteroquaterphenoquinoides; photovoltaics; cells; organic; synthesis; double cable
INGEGNERIA FISICA,econophysics; diffusion; Brownian motion; Black & Scholes equation; options; quantum mechanics; option pricing; Liouville equation; replicator dynamics equation
INGEGNERIA INFORMATICA,music information retrieval; digital signal processing; Java; real-time system
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,photogrammetry; georadar; GPR; geophysical survey; urban navigation; georeferencing technology services; photo-GPS
INGEGNERIA INFORMATICA,green software; energy efficiency; software development
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,input variable selection; hydrological modelling; tree-based algorithms
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,energy; industry; food drinks and tobacco; cement industry; dashboard of sustainability; energy efficency
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,Porto di mare; Rogoredo; Crociera; library
ARCHITETTURA,amphiteater; archeology; Milan; memory; fragments; ancient
ARCHITETTURA,skyscraper; tower; fashion; Tokyo; Omotesando
INGEGNERIA DEI MATERIALI,photovoltaics; polithiophene; infiltration
INGEGNERIA BIOMEDICA,analysis; characterization; optic sensor; portable; real time; PCR
INGEGNERIA BIOMEDICA,"articular cartilage; collagen; fibrils; continuous density; ellipsoidal, bimodularity; numerical modeling"
INGEGNERIA DELLA PREVENZIONE E DELLA SICUREZZA NELL'INDUSTRIA DI PROCESSO,yard; elettrical safety
ARCHITETTURA,Marco Zanuso; Adriano Olivetti; Olivetti; Olivetti Argentina; Olivetti Brasile; Scarmagno; Crema; Marcianise; industrialization; prefabrication
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,valve; friction losses; MPD
DESIGN DEL SISTEMA PRODOTTO (PRODUCT SERVICE SYSTEM DESIGN),grocery shop; supermarket; delivery; recipes; diet; food; dishes
ARCHITETTURA,Salento
INGEGNERIA MECCANICA,WT test; CFD; multi-block-grid CFD model; crosswind; moving reference frame; barriers
INGEGNERIA INFORMATICA,automatic fault detection AFD; hardware test analysis; incremental automatic functional fault detection iAF2D
INGEGNERIA CHIMICA,turbulence; turbulent reactive flow; combustion; turbulent non premixed flames; k-epsilon model; eddy dissipation model; steady laminar flamelets model; sandia; bluff-body; openfoam; fluent; c++
INGEGNERIA GESTIONALE,Six Sigma; implementation; methodology; framework; critical success factors
DESIGN DEGLI INTERNI (INTERIOR DESIGN),Compasso d'oro Award; everyday object; equally differents; steps of design
INGEGNERIA INFORMATICA,technical analysis of financial markets; trading rule; trading system; automated trading; evolutionary algorithm; genetic algorithm; stochastic optimization
